author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/308200551/;Москва;sale;flat;1;12;2;44.2;15500000;1971;-1;-1;-1;-1;33,2 м²;6 м²;+79672748255;Чертаново Южное; Академика Янгеля;6;Улица Академика Янгеля;
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/305382206/;Москва;sale;flat;11;16;2;60.3;15500000;2008;-1;-1;-1;-1;33,2 м²;12,9 м²;+79623644015;Северный;Дмитровское шоссе;165Ек3;Физтех;
WHITE BROKER;real_estate_agent;https://www.cian.ru/sale/flat/307682660/;Москва;sale;flat;8;9;2;44.4;15500000;1968;-1;-1;-1;-1;27,8 м²;5,5 м²;+79629055926;Южнопортовый;5-я Кожуховская ;20;Кожуховская;
Самолет плюс - Химки;real_estate_agent;https://www.cian.ru/sale/flat/307724281/;Москва;sale;flat;5;17;2;53.4;15500000;1992;-1;-1;-1;-1;32 м²;9,1 м²;+79672093845;Митино;Пятницкое шоссе;31;Митино;
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308554500/;Москва;sale;flat;8;9;2;44.0;17200000;1963;-1;-1;-1;-1;32 м²;7 м²;+79857048937;Южнопортовый; Симоновский Вал;19;Дубровка;
