author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308806817/;Москва;sale;flat;20;21;2;67.0;62000000;-1;-1;-1;-1;-1;43 м²;14 м²;+79858607760;Беговой;Ленинградский проспект;29к2;Динамо;Царская площадь
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/293809448/;Москва;sale;flat;11;20;2;96.9;87500000;2024;-1;-1;-1;Чистовая;48,3 м²;16 м²;+79031127715;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/283842591/;Москва;sale;flat;2;5;2;103.0;120000000;-1;-1;-1;-1;-1;-1;-1;+79858635928;Тверской;Никольская ;10/2С2б;Лубянка;St. Nickolas
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308877560/;Москва;sale;flat;40;68;2;60.0;53000000;2020;-1;-1;-1;-1;40 м²;10 м²;+79031473833;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Century21 Феникс;real_estate_agent;https://www.cian.ru/sale/flat/298794336/;Москва;sale;flat;2;11;2;49.8;20300000;-1;-1;-1;-1;-1;24 м²;20 м²;+79653270804;Щукино; Маршала Рыбалко;2к6;Панфиловская;Маршал
