author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307955930/;Москва;sale;flat;5;16;2;95.0;85000000;-1;-1;-1;-1;-1;45 м²;10 м²;+79670580817;Арбат;1-й Смоленский переулок;17;Смоленская;Новопесковский
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306212544/;Москва;sale;flat;1;3;2;229.0;140000000;-1;-1;-1;-1;-1;170 м²;20 м²;+79858655936;Хорошево-Мневники;Таманская ;1;Народное Ополчение;Берег столицы
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/289514736/;Москва;sale;flat;2;5;2;64.0;172800000;2021;-1;-1;-1;-1;-1;7 м²;+79850141998;Хамовники;Пречистенская набережная;43;Кропоткинская;Carré Blanc
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/306841114/;Москва;sale;flat;5;13;1;34.1;8100000;2023;-1;-1;-1;-1;10,6 м²;14,5 м²;+79857048937;; 1-я Ватутинская;12к2;Ватутинки;Russian Design District
